学部,指定科類枠の効用増減,全科類枠の効用増減,全体での効用増減,MRの定員充足率,MQの定員充足率
法学部,-1.7652513726581431,-4.1746940676257696,-5.939945440283914,0.913984251968514,0.9506535433070944
経済学部,-13.5036072454505,6.747147611857933,-6.7564596335925655,0.8959906542056083,0.9158037383177544
A群（思想文化）,0.0,6.451483078871141,6.451483078871141,0.9983809523809524,0.8249523809523867
B群（歴史文化_日本史学）,0.0,34.74719940523417,34.74719940523417,0.9940909090909094,0.5629090909090917
C群（歴史文化_東洋史学）,0.0,7.250555175109049,7.250555175109049,0.7750526315789505,0.3224736842105305
D群（歴史文化_西洋史学）,0.0,36.36925479669546,36.36925479669546,1.0,0.5829999999999987
E群（歴史文化_考古学）,0.0,3.2001762880437012,3.2001762880437012,0.09061904761904822,0.08097619047619066
F群（歴史文化_美術史学）,0.0,-2.2838200559936923,-2.2838200559936923,0.19129999999999867,0.21399999999999847
G群（言語文化）,0.0,25.48665430846947,25.48665430846947,0.8116153846153819,0.6143846153846149
H群（心理学）,0.0,0.0,0.0,1.0,1.0
I群（社会心理学）,0.0,0.0,0.0,1.0,0.9630000000000012
J群（社会学）,0.0,0.0,0.0,0.9999375,0.9999375
基礎教育学,0.0,10.86610405665884,10.86610405665884,0.8204285714285706,0.7658571428571409
比較教育社会学,0.0,0.0,0.0,1.0,1.0
教育実践・政策学,0.0,0.0,0.0,0.9835,0.988375
教育心理学,0.0,0.0,0.0,1.0,0.997714285714286
身体教育学,0.0,-7.304270642018723,-7.304270642018723,0.4295999999999995,0.5441999999999995
薬学部,-12.976549580987092,0.0,-12.976549580987092,0.5616451612903216,0.8157096774193501
医学,-2.223348284963398,2.1521813498437266,-0.07116693511967123,1.0,0.9958611111111088
健康総合科学,-2.2075537223804624,0.0,-2.2075537223804624,0.21280645161290052,0.2688709677419325
超域文化科学,0.0,0.0,0.0,1.0,0.9985833333333329
地域文化研究,-0.5795348333876973,20.514365860748715,19.934831027361017,0.9966363636363632,0.8521818181818215
総合社会科学,-0.6720693055736321,0.0,-0.6720693055736321,1.0,0.9959999999999996
数理自然科学,0.0,0.0,0.0,1.0,1.0
物質基礎科学,-0.6389066942646195,0.0,-0.6389066942646195,1.0,1.0
統合生命科学,-0.8147337847433265,-0.18645000543265333,-1.0011837901759801,0.9867777777777788,0.9974444444444448
認知行動科学,0.0,0.0,0.0,1.0,1.0
Ａ 群,0.0,0.0,0.0,1.0,0.9966
Ｂ 群,0.0,0.0,0.0,1.0,0.9995
教養学科国際日本研究コース,0.0,0.0,0.0,0.30075,0.35925
学際科学科国際環境学コース,0.0,0.0,0.0,0.29225,0.4115
生命化学・工学,-11.35961219199922,0.0,-11.35961219199922,0.41690625,0.6519375
応用生物学,-11.016222079866216,0.0,-11.016222079866216,0.2900769230769232,0.4653076923076919
森林生物科学,-11.773742862332403,0.0,-11.773742862332403,0.21466666666666606,0.3311666666666661
水圏生物科学,-1.6560227647637096,0.0,-1.6560227647637096,0.9941666666666668,0.9993333333333334
動物生命システム科学,0.0,0.0,0.0,1.0,1.0
生物素材化学,-0.6909455742403736,0.0,-0.6909455742403736,0.9831666666666672,0.9978333333333332
緑地環境学,0.0,0.0,0.0,1.0,1.0
森林環境資源科学,0.0,-0.6690770736291412,-0.6690770736291412,0.6376363636363642,0.8438181818181838
木質構造科学,0.0,0.0,0.0,1.0,1.0
生物・環境工学,-7.302377151940008,0.0,-7.302377151940008,0.17227777777777808,0.2936111111111111
農業・資源経済学,-0.6182989443544347,0.0,-0.6182989443544347,1.0,0.9454615384615348
フィールド科学,0.0,0.0,0.0,0.9993333333333332,1.0
国際開発農学,0.0,-0.07380635230734356,-0.07380635230734356,1.0,1.0
獣医学課程獣医学,-18.582618252132047,0.0,-18.582618252132047,0.64825,0.836
社会基盤学Ａ（設計・技術戦略）,0.0,0.0,0.0,0.9874285714285718,0.9931428571428572
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0,0.0,0.0,0.9918333333333332,0.996
社会基盤学Ｃ（国際プロジェクト）,0.0,0.0,0.0,0.9949999999999998,0.9983333333333332
建築学,-0.01750547479114175,-0.1836569935600532,-0.20116246835119486,1.0,1.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0.0,0.0,0.0,1.0,1.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,-0.3241526249250796,0.0,-0.3241526249250796,1.0,1.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,-0.17466804820426865,0.0,-0.17466804820426865,1.0,1.0
機械工学B,0.0,0.0,0.0,1.0,1.0
航空宇宙学,0.0,0.0,0.0,0.9976111111111112,0.9988888888888888
精密工学,-0.1782830648376635,0.0,-0.1782830648376635,1.0,1.0
電子情報工学,-0.2024857409011484,-0.5101422827571014,-0.7126280236582497,0.9958333333333332,1.0
電気電子工学,-0.14082520977089666,0.0,-0.14082520977089666,1.0,1.0
応用物理・物理工学,0.0,0.0,0.0,1.0,1.0
計数工学・数理/ｼｽﾃﾑ情報,-0.3982432620332799,0.0,-0.3982432620332799,1.0,1.0
マテリアル工学A,-18.20345295300798,-5.74078420744576,-23.94423716045374,0.4651818181818185,0.7394545454545491
マテリアル工学B,-1.4703950423620158,0.0,-1.4703950423620158,0.9992941176470588,0.923647058823532
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,-0.2250926376724237,0.0,-0.2250926376724237,1.0,1.0
応用化学,-2.5716262172473643,39.999070627113156,37.4274444098658,0.7224230769230772,0.36215384615384666
化学システム工学,0.0,37.518176068730654,37.518176068730654,1.0,0.6358947368421075
化学生命工学,-4.721933051966083,26.554190392829213,21.832257340863126,0.9821875,0.765
システム創成A,-20.686082259823014,-4.026808540298189,-24.712890800121198,0.4230588235294144,0.684588235294117
システム創成B,0.0,0.0,0.0,1.0,1.0
システム創成C,-0.09464863984132016,0.0,-0.09464863984132016,1.0,1.0
数学,0.0,0.0,0.0,0.9966923076923077,0.9989230769230768
情報科学,0.0,-0.21479267931210871,-0.21479267931210871,1.0,1.0
物理学,0.0,0.0,0.0,0.998952380952381,0.9998571428571428
天文学,0.0,0.0,0.0,1.0,1.0
地球惑星物理学,0.0,0.0,0.0,1.0,1.0
地球惑星環境学,0.0,0.0,0.0,1.0,1.0
化学,-0.44498860397024703,0.0,-0.44498860397024703,0.9996153846153848,1.0
生物化学,-0.6767675519773017,0.0,-0.6767675519773017,1.0,1.0
生物情報科学,-0.3592163515805623,0.0,-0.3592163515805623,1.0,1.0
生物学,0.0,-0.12005544057590214,-0.12005544057590214,0.9982,0.9997
