,l1,l2,l3,s1,s2,s3
法学部,5.3303846153845456,-1.2422857142857162,-0.3570833333333334,-2.8212903225806354,-2.3761538461538563,-7.459999999999953
経済学部,-0.9163636363636357,16.788873239436093,-0.7055000000000011,-1.2178181818181864,-0.8948571428571432,-7.559999999999951
A群（思想文化）,-1.8877777777777829,-0.9333333333333335,-0.28693877551020375,-3.231428571428574,-2.712631578947372,-3.880000000000001
B群（歴史文化_日本史学）,-2.315384615384617,-1.4168749999999999,-1.241999999999996,-4.376666666666664,-3.98399999999998,-7.319999999999955
C群（歴史文化_東洋史学）,-2.505454545454541,-1.2355555555555573,-1.1606451612903224,-4.456000000000012,-4.333333333333348,-7.519999999999954
D群（歴史文化_西洋史学）,-2.503636363636352,-0.8799999999999985,-0.7394999999999977,-4.346666666666683,-3.3640000000000048,-3.6599999999999993
E群（歴史文化_考古学）,-2.882499999999999,-2.251764705882357,-1.6486956521739182,-4.257142857142853,-3.468888888888887,-7.459999999999955
F群（歴史文化_美術史学）,-2.884999999999997,-2.0590000000000033,-1.2668965517241342,-4.107500000000007,-3.702857142857143,-7.399999999999952
G群（言語文化）,-1.8084210526315836,-0.17704918032786895,0.40953846153846307,-3.3315789473684227,-2.7955555555555565,-7.459999999999958
H群（心理学）,-1.888888888888889,-0.2810169491525418,0.6159420289855077,-2.864516129032258,-2.1726666666666574,-7.399999999999955
I群（社会心理学）,-1.7619999999999982,-0.21833333333333338,0.8489189189189208,-3.067199999999991,-2.2628571428571385,-7.599999999999948
J群（社会学）,-1.6676190476190496,0.0075757575757575395,1.708089887640444,-3.558750000000002,-2.35846153846153,-7.4999999999999565
基礎教育学,-4.130000000000008,-2.580000000000005,-1.675454545454548,-5.700000000000021,-4.200000000000003,-7.559999999999951
比較教育社会学,-3.595000000000003,-2.758181818181815,-1.2855172413793086,-4.906666666666666,-4.406666666666662,-7.599999999999956
教育実践・政策学,-4.620000000000027,-2.716666666666668,-1.4584615384615383,-4.786666666666683,-4.18500000000001,-7.539999999999949
教育心理学,-3.3720000000000017,-2.9400000000000053,-1.0709090909090933,-4.33333333333332,-3.4155555555555592,-7.599999999999951
身体教育学,-3.5249999999999986,-2.0889999999999906,-3.3760000000000012,-5.210000000000029,-3.6999999999999935,-7.419999999999957
薬学部,-8.159999999999954,-8.139999999999956,-8.319999999999952,-2.6194871794871757,-0.7369230769230786,-7.499999999999954
医学,-7.999999999999953,-8.11999999999996,-3.8466666666666662,-8.879999999999951,-3.1123076923076933,14.633529411764698
健康総合科学,-3.900000000000002,-3.759999999999994,-2.6680000000000033,-3.780000000000001,-3.1666666666666585,-7.55999999999995
超域文化科学,-1.748999999999996,-1.1410526315789464,-0.3685106382978718,-3.6907692307692366,-3.29636363636363,-7.499999999999952
地域文化研究,-1.7873684210526273,-1.1189473684210518,-0.9033333333333322,-3.977777777777767,-3.59,-7.479999999999952
総合社会科学,-1.6647619047619098,-0.9190697674418622,-1.6330434782608658,-4.013333333333331,-3.7399999999999842,-7.559999999999951
数理自然科学,-8.299999999999946,-8.239999999999956,-8.119999999999955,-2.310400000000005,-2.7988888888888814,-7.439999999999958
物質基礎科学,-8.119999999999955,-8.279999999999959,-8.159999999999952,-2.237735849056614,-2.755555555555561,-7.47999999999995
統合生命科学,-4.170000000000019,-4.019999999999987,-4.270000000000012,-2.982222222222214,-2.152666666666674,-7.49999999999995
認知行動科学,-2.879999999999984,-2.7781818181818116,-2.401538461538463,-2.591282051282056,-2.345384615384624,-7.519999999999956
Ａ 群,-2.905000000000005,-1.7269230769230783,-1.5407999999999988,-2.9066666666666663,-3.1092307692307677,-7.479999999999953
Ｂ 群,-4.1700000000000035,-2.187777777777785,-2.3646153846153855,-2.1685714285714224,-2.1258064516129087,-7.47999999999995
教養学科国際日本研究コース,-3.81333333333333,-3.544000000000001,-3.3960000000000012,-5.169999999999998,-5.220000000000055,-7.579999999999948
学際科学科国際環境学コース,-4.13,-2.9799999999999867,-3.585000000000001,-5.180000000000022,-4.1200000000000045,-7.519999999999948
生命化学・工学,-8.079999999999954,-8.21999999999996,-8.079999999999956,-2.948571428571429,-0.5697619047619055,-7.479999999999951
応用生物学,-8.019999999999948,-8.159999999999958,-8.299999999999951,-3.9933333333333074,-2.173333333333335,-7.579999999999947
森林生物科学,-4.560000000000021,-3.5200000000000014,-3.819999999999996,-4.125000000000014,-2.6470000000000082,-7.559999999999949
水圏生物科学,-8.179999999999955,-8.39999999999995,-8.099999999999952,-3.6557142857142924,-2.010285714285711,-7.459999999999954
動物生命システム科学,-8.239999999999952,-3.6749999999999945,-4.039999999999986,-4.360000000000005,-2.084242424242424,-7.499999999999949
生物素材化学,-8.179999999999957,-8.179999999999955,-8.099999999999952,-3.6199999999999988,-2.213103448275855,-7.55999999999995
緑地環境学,-8.139999999999949,-8.219999999999953,-8.159999999999949,-3.6615384615384565,-2.4144000000000143,-7.459999999999949
森林環境資源科学,-4.740000000000023,-2.8920000000000092,-3.6200000000000094,-3.6938461538461502,-2.189032258064519,-7.639999999999948
木質構造科学,-8.299999999999946,-8.299999999999951,-8.179999999999952,-3.541250000000004,-2.059393939393931,-7.479999999999948
生物・環境工学,-8.19999999999995,-3.8299999999999916,-3.9066666666666685,-3.652857142857141,-1.7760000000000047,-7.559999999999953
農業・資源経済学,-2.7711111111111126,-0.6653061224489799,-1.6408695652173915,-2.9006666666666683,-0.5904761904761913,-7.539999999999949
フィールド科学,-8.099999999999948,-3.157142857142853,-3.4360000000000013,-3.7683333333333273,-2.0715151515151553,-7.53999999999995
国際開発農学,-3.179999999999993,-2.498571428571435,-2.111250000000007,-3.4333333333333305,-1.627111111111111,-7.5199999999999525
獣医学課程獣医学,-8.039999999999953,-8.219999999999951,-8.17999999999995,-4.160000000000011,-2.333076923076918,-7.4599999999999556
社会基盤学Ａ（設計・技術戦略）,-8.179999999999948,-8.179999999999948,-8.119999999999951,-2.7497142857142856,-8.439999999999946,-7.639999999999951
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,-8.159999999999952,-8.259999999999952,-8.199999999999951,-2.716,-8.479999999999952,-7.639999999999949
社会基盤学Ｃ（国際プロジェクト）,-8.219999999999947,-8.179999999999954,-8.159999999999956,-2.9874074074074035,-8.379999999999958,-7.4799999999999525
建築学,-3.8266666666666693,-3.7250000000000036,-3.028571428571441,-1.869577464788733,-2.471666666666673,-7.5199999999999525
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,-8.179999999999955,-3.3633333333333315,-3.253333333333331,-2.3060000000000023,-2.1012903225806414,-7.5199999999999445
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,-3.7933333333333303,-3.0044444444444514,-2.7888888888888914,-1.827671232876716,-2.322222222222215,-7.539999999999953
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,-8.159999999999952,-8.27999999999995,-8.059999999999954,-0.08102040816326532,-8.459999999999953,-7.559999999999946
機械工学B,-8.13999999999995,-8.259999999999957,-8.179999999999954,-0.5861038961038968,-8.439999999999955,-7.539999999999953
航空宇宙学,-8.099999999999955,-8.319999999999954,-8.139999999999953,-1.630952380952381,-8.499999999999952,-7.459999999999955
精密工学,-8.079999999999952,-4.940000000000025,-4.760000000000022,-0.3258757062146896,-1.566382978723407,-7.459999999999958
電子情報工学,-4.100000000000022,-4.96000000000004,-7.999999999999956,-0.04271356783919588,-1.560416666666664,-7.679999999999951
電気電子工学,-4.880000000000025,-4.900000000000041,-8.07999999999995,-0.23913043478260834,-1.8778947368421093,-7.47999999999995
応用物理・物理工学,-8.099999999999953,-8.199999999999955,-8.179999999999954,-0.9598437499999997,-2.358461538461546,-7.539999999999951
計数工学・数理/ｼｽﾃﾑ情報,-4.1900000000000155,-8.239999999999956,-3.819999999999995,-0.7259863945578251,-2.091249999999997,-7.499999999999949
マテリアル工学A,-8.079999999999957,-8.25999999999995,-8.139999999999954,-1.9244117647058863,-1.7276190476190443,-7.4599999999999485
マテリアル工学B,-8.039999999999953,-8.239999999999954,-8.179999999999952,-1.6575903614457828,-1.9305555555555542,-7.4999999999999485
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,-8.159999999999954,-8.199999999999955,-8.199999999999951,-1.2352727272727275,-1.8029999999999984,-7.539999999999947
応用化学,-8.059999999999956,-8.059999999999956,-8.099999999999957,-2.244905660377353,-1.977714285714281,-7.51999999999995
化学システム工学,-8.139999999999958,-8.239999999999954,-4.7000000000000455,-1.9391044776119415,-1.7800000000000005,-7.439999999999954
化学生命工学,-8.119999999999955,-8.259999999999952,-8.199999999999953,-2.4386666666666676,-2.052499999999999,-7.459999999999949
システム創成A,-8.17999999999995,-4.249999999999997,-4.15999999999999,-1.2952830188679205,-1.6999999999999964,-7.519999999999956
システム創成B,-8.059999999999961,-4.0600000000000005,-3.5650000000000035,-1.1399999999999963,-1.590638297872339,-7.43999999999995
システム創成C,-4.460000000000032,-3.4520000000000013,-3.1966666666666597,-0.5171250000000005,-1.0330303030303036,-7.639999999999949
数学,-8.179999999999957,-8.179999999999952,-8.199999999999953,-2.26339622641509,-3.150769230769227,-7.479999999999956
情報科学,-8.239999999999956,-8.219999999999953,-8.259999999999954,-1.1709734513274372,-2.053333333333324,-7.379999999999954
物理学,-8.179999999999954,-8.219999999999953,-8.159999999999952,-1.7096202531645603,-2.79777777777777,-7.559999999999954
天文学,-8.079999999999956,-8.23999999999995,-8.19999999999995,-2.689444444444441,-3.176666666666666,-7.519999999999951
地球惑星物理学,-8.159999999999954,-8.219999999999953,-8.219999999999954,-1.9906250000000025,-2.66800000000001,-7.599999999999953
地球惑星環境学,-8.099999999999955,-8.259999999999957,-8.13999999999996,-2.621999999999994,-2.3500000000000068,-7.4799999999999525
化学,-8.179999999999952,-8.159999999999947,-8.179999999999955,-2.5610000000000057,-1.843589743589739,-7.459999999999955
生物化学,-8.159999999999954,-8.279999999999953,-8.159999999999958,-3.4752941176470684,-1.8373684210526284,-7.539999999999948
生物情報科学,-8.199999999999953,-8.219999999999951,-8.199999999999955,-2.604102564102554,-2.0012121212121166,-7.4199999999999555
生物学,-8.099999999999953,-8.179999999999955,-8.079999999999952,-3.334736842105267,-2.0533333333333457,-7.519999999999953
