学部番号,学部,学科,学科2,第1段階指定1科類,第1段階指定1枠数,第1段階指定2科類,第1段階指定2枠数,第1段階指定3科類,第1段階指定3枠数,内定第1段階指定1科類,残指定1枠数,内定指定2科類,残指定2枠数,内定指定3科類,残指定3枠数,第１志望者（合計）,１志（文１）,１志（文２）,１志（文３）,１志（理１）,１志（理２）,１志（理３）,第１内定者（合計）,１内（文１）,１内（文２）,１内（文３）,１内（理１）,１内（理２）,１内（理３）,第１志望者（合計）,１志全（文１）,１志全（文２）,１志全（文３）,１志全（理１）,１志全（理２）,１志全（理３）,第１内定者（合計）,１内全（文１）,１内全（文２）,１内全（文３）,１内全（理１）,１内全（理２）,１内全（理３）,,第二段階指定1科類,第二段階指定1枠数,指定1使用,指定1底点,指定1点数,指定1学籍番号,第二段階指定2科類,第二段階指定2枠数,指定2使用,指定2底点,指定2点数,指定2学籍番号,第二段階指定3科類,第二段階指定3枠数,指定3使用,指定3底点,指定3点数,指定3学籍番号,第二段階指定4科類,第二段階指定4枠数,指定4使用,指定4底点,指定4点数,指定4学籍番号,,第１志望者（合計）,２志（文１）,２志（文２）,２志（文３）,２志（理１）,２志（理２）,２志（理３）,第１内定者（合計）,１内（文１）,２内（文２）,２内（文３）,２内（理１）,２内（理２）,２内（理３）,第２志望者（合計）,２志全（文１）,２志全（文２）,２志全（文３）,２志全（理１）,２志全（理２）,２志全（理３）,第２内定者（合計）,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）,学部番号,学部,学科,学科2
39,農学部,環境資源科学,森林環境資源科学,5,6,,,123456,4,0,6,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,10,0,10,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,農学部,環境資源科学,森林環境資源科学
40,農学部,環境資源科学,木質構造科学,5,5,,,123456,,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,農学部,環境資源科学,木質構造科学
41,農学部,環境資源科学,生物・環境工学,46,5,5,11,123456,2,0,5,0,11,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,5,0,5,0,0,123,1,0,1,0,0,0,0,0,0,0,0,123456,12,0,12,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,農学部,環境資源科学,生物・環境工学
42,農学部,環境資源科学,農業・資源経済学,123,6,456,13,123456,,0,6,0,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,8,0,8,0,0,123,5,0,5,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,農学部,環境資源科学,農業・資源経済学
43,農学部,環境資源科学,フィールド科学,5,3,,,123456,2,0,3,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,農学部,環境資源科学,フィールド科学
44,農学部,環境資源科学,国際開発農学,456,9,,,123456,4,0,9,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,5,0,5,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,農学部,環境資源科学,国際開発農学
45,農学部,獣医学課程獣医学,獣医学課程獣医学,5,18,,,123456,3,0,18,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,農学部,獣医学課程獣医学,獣医学課程獣医学
46,工学部,社会基盤学Ａ（設計・技術戦略）,社会基盤学Ａ（設計・技術戦略）,4,12,56,1,123456,1,0,12,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,工学部,社会基盤学Ａ（設計・技術戦略）,社会基盤学Ａ（設計・技術戦略）
47,工学部,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,4,11,,,123456,3,0,11,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,工学部,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,社会基盤学Ｂ（政策・計画）社会基盤学Ｃ
48,工学部,社会基盤学Ｃ（国際プロジェクト）,社会基盤学Ｃ（国際プロジェクト）,4,4,,,123456,3,0,4,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,工学部,社会基盤学Ｃ（国際プロジェクト）,社会基盤学Ｃ（国際プロジェクト）
49,工学部,建築学,建築学,4,34,,,123456,6,0,34,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,0,13,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,2,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,工学部,建築学,建築学
50,工学部,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,4,7,56,3,123456,3,0,7,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,2,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,工学部,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）
51,工学部,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,4,15,,,123456,6,0,15,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,工学部,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）
52,工学部,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,4,57,56,2,123456,2,0,57,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31,0,31,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,工学部,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）
53,工学部,機械工学B,機械工学B,4,25,,,123456,1,0,25,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,0,13,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,工学部,機械工学B,機械工学B
54,工学部,航空宇宙学,航空宇宙学,4,32,56,1,123456,,0,32,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,0,18,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,工学部,航空宇宙学,航空宇宙学
55,工学部,精密工学,精密工学,4,25,56,3,123456,3,0,25,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,11,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,3,0,3,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,工学部,精密工学,精密工学
56,工学部,電子情報工学,電子情報工学,4,26,56,6,123456,3,0,26,0,6,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,0,14,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,10,0,10,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,工学部,電子情報工学,電子情報工学
57,工学部,電気電子工学,電気電子工学,4,33,56,6,123456,8,0,33,0,6,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,0,21,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,工学部,電気電子工学,電気電子工学
58,工学部,応用物理・物理工学,応用物理・物理工学,4,32,,,123456,3,0,32,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,0,14,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,3,0,3,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,工学部,応用物理・物理工学,応用物理・物理工学
60,工学部,計数工学・数理/ｼｽﾃﾑ情報,計数工学・数理/ｼｽﾃﾑ情報,4,33,56,3,123456,2,0,33,0,3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,0,18,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,3,0,3,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,工学部,計数工学・数理/ｼｽﾃﾑ情報,計数工学・数理/ｼｽﾃﾑ情報
61,工学部,マテリアル工学A,マテリアル工学A,4,8,56,10,123456,3,0,8,0,10,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,0,0,56,2,0,2,0,0,0,0,0,0,0,0,123456,2,0,2,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,工学部,マテリアル工学A,マテリアル工学A
62,工学部,マテリアル工学B,マテリアル工学B,4,16,56,19,123456,3,0,16,0,19,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,0,17,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,工学部,マテリアル工学B,マテリアル工学B
63,工学部,マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,4,16,56,10,123456,3,0,16,0,10,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,工学部,マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）
64,工学部,応用化学,応用化学,4,30,56,3,123456,2,0,30,0,3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22,0,22,0,0,56,4,0,4,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,工学部,応用化学,応用化学
65,工学部,化学システム工学,化学システム工学,4,23,56,4,123456,3,0,23,0,4,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,0,16,0,0,56,3,0,3,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,工学部,化学システム工学,化学システム工学
66,工学部,化学生命工学,化学生命工学,4,17,56,11,123456,1,0,17,0,11,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,8,0,0,56,7,0,7,0,0,0,0,0,0,0,0,123456,1,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,工学部,化学生命工学,化学生命工学
67,工学部,システム創成A,システム創成A,4,22,56,4,123456,4,0,22,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,0,12,0,0,56,2,0,2,0,0,0,0,0,0,0,0,123456,3,0,3,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,工学部,システム創成A,システム創成A
68,工学部,システム創成B,システム創成B,4,19,,,123456,5,0,19,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,11,0,0,56,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,工学部,システム創成B,システム創成B
69,工学部,システム創成C,システム創成C,4,24,56,2,123456,4,0,24,0,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,0,12,0,0,56,2,0,2,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,工学部,システム創成C,システム創成C
70,理学,数学,数学,4,28,,,123456,3,0,28,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,13,0,13,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,理学,数学,数学
71,理学,情報科学,情報科学,4,15,,,123456,4,0,15,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,10,0,10,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,理学,情報科学,情報科学
72,理学,物理学,物理学,4,42,,,123456,5,0,42,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,21,0,21,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,理学,物理学,物理学
73,理学,天文学,天文学,4,5,,,123456,1,0,5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,4,0,4,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,理学,天文学,天文学
74,理学,地球惑星物理学,地球惑星物理学,4,15,,,123456,5,0,15,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,10,0,10,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,理学,地球惑星物理学,地球惑星物理学
75,理学,地球惑星環境学,地球惑星環境学,456,10,,,123456,2,0,10,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,2,0,2,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,理学,地球惑星環境学,地球惑星環境学
76,理学,化学,化学,4,15,56,10,123456,5,0,15,0,10,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,理学,化学,化学
77,理学,生物化学,生物化学,456,12,,,123456,1,0,12,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,理学,生物化学,生物化学
78,理学,生物情報科学,生物情報科学,456,6,,,123456,1,0,6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,理学,生物情報科学,生物情報科学
79,理学,生物学,生物学,456,11,,,123456,2,0,11,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123456,10,0,10,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,理学,生物学,生物学
80,合計,,,,1606,,275,,311,0,1606,0,275,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,0,857,0,0,0,58,0,58,0,0,0,2,0,2,0,0,0,301,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,合計,,
